16:26:58,226 INFO - org.hibernate.cfg.SettingsFactory.buildSettings(154) | JDBC batch size: 15
16:26:58,227 INFO - org.hibernate.cfg.SettingsFactory.buildSettings(157) | JDBC batch updates for versioned data: disabled
16:26:58,228 INFO - org.hibernate.cfg.SettingsFactory.buildSettings(162) | Scrollable result sets: enabled
16:26:58,230 INFO - org.hibernate.cfg.SettingsFactory.buildSettings(170) | JDBC3 getGeneratedKeys(): enabled
16:26:58,231 INFO - org.hibernate.cfg.SettingsFactory.buildSettings(178) | Connection release mode: auto
16:26:58,234 INFO - org.hibernate.cfg.SettingsFactory.buildSettings(202) | Maximum outer join fetch depth: 2
16:26:58,236 INFO - org.hibernate.cfg.SettingsFactory.buildSettings(205) | Default batch fetch size: 1
16:26:58,237 INFO - org.hibernate.cfg.SettingsFactory.buildSettings(209) | Generate SQL with comments: disabled
16:26:58,238 INFO - org.hibernate.cfg.SettingsFactory.buildSettings(213) | Order SQL updates by primary key: disabled
16:26:58,239 INFO - org.hibernate.cfg.SettingsFactory.buildSettings(217) | Order SQL inserts for batching: disabled
16:26:58,240 INFO - org.hibernate.cfg.SettingsFactory.createQueryTranslatorFactory(386) | Query translator: org.hibernate.hql.ast.ASTQueryTranslatorFactory
16:26:58,245 INFO - org.hibernate.hql.ast.ASTQueryTranslatorFactory.<init>(24) | Using ASTQueryTranslatorFactory
16:26:58,246 INFO - org.hibernate.cfg.SettingsFactory.buildSettings(225) | Query language substitutions: {}
16:26:58,247 INFO - org.hibernate.cfg.SettingsFactory.buildSettings(230) | JPA-QL strict compliance: disabled
16:26:58,248 INFO - org.hibernate.cfg.SettingsFactory.buildSettings(235) | Second-level cache: enabled
16:26:58,249 INFO - org.hibernate.cfg.SettingsFactory.buildSettings(239) | Query cache: disabled
16:26:58,250 INFO - org.hibernate.cfg.SettingsFactory.createCacheProvider(373) | Cache provider: org.hibernate.cache.NoCacheProvider
16:26:58,251 INFO - org.hibernate.cfg.SettingsFactory.buildSettings(254) | Optimize cache for minimal puts: disabled
16:26:58,253 INFO - org.hibernate.cfg.SettingsFactory.buildSettings(263) | Structured second-level cache entries: disabled
16:26:58,260 INFO - org.hibernate.cfg.SettingsFactory.buildSettings(283) | Echoing all SQL to stdout
16:26:58,262 INFO - org.hibernate.cfg.SettingsFactory.buildSettings(290) | Statistics: disabled
16:26:58,263 INFO - org.hibernate.cfg.SettingsFactory.buildSettings(294) | Deleted entity synthetic identifier rollback: disabled
16:26:58,264 INFO - org.hibernate.cfg.SettingsFactory.buildSettings(309) | Default entity-mode: pojo
16:26:58,265 INFO - org.hibernate.cfg.SettingsFactory.buildSettings(313) | Named query checking : enabled
16:26:58,462 INFO - org.hibernate.impl.SessionFactoryImpl.<init>(161) | building session factory
16:26:59,250 INFO - org.hibernate.impl.SessionFactoryObjectFactory.addInstance(82) | Not binding factory to JNDI, no JNDI name configured
16:26:59,455 INFO - org.springframework.orm.hibernate3.HibernateTransactionManager.afterPropertiesSet(415) | Using DataSource [org.springframework.jdbc.datasource.DriverManagerDataSource@1bb0889a] of Hibernate SessionFactory for HibernateTransactionManager
16:26:59,593 WARN - org.springframework.aop.framework.Cglib2AopProxy.doValidateClass(255) | Unable to proxy method [public final org.springframework.orm.hibernate3.HibernateTemplate org.springframework.orm.hibernate3.support.HibernateDaoSupport.getHibernateTemplate()] because it is final: All calls to this method via a proxy will be routed directly to the proxy.
16:26:59,595 WARN - org.springframework.aop.framework.Cglib2AopProxy.doValidateClass(255) | Unable to proxy method [public final org.hibernate.SessionFactory org.springframework.orm.hibernate3.support.HibernateDaoSupport.getSessionFactory()] because it is final: All calls to this method via a proxy will be routed directly to the proxy.
16:26:59,596 WARN - org.springframework.aop.framework.Cglib2AopProxy.doValidateClass(255) | Unable to proxy method [public final void org.springframework.orm.hibernate3.support.HibernateDaoSupport.setSessionFactory(org.hibernate.SessionFactory)] because it is final: All calls to this method via a proxy will be routed directly to the proxy.
16:26:59,599 WARN - org.springframework.aop.framework.Cglib2AopProxy.doValidateClass(255) | Unable to proxy method [public final void org.springframework.orm.hibernate3.support.HibernateDaoSupport.setHibernateTemplate(org.springframework.orm.hibernate3.HibernateTemplate)] because it is final: All calls to this method via a proxy will be routed directly to the proxy.
16:26:59,600 WARN - org.springframework.aop.framework.Cglib2AopProxy.doValidateClass(255) | Unable to proxy method [public final void org.springframework.dao.support.DaoSupport.afterPropertiesSet() throws java.lang.IllegalArgumentException,org.springframework.beans.factory.BeanInitializationException] because it is final: All calls to this method via a proxy will be routed directly to the proxy.
16:26:59,782 WARN - org.springframework.aop.framework.Cglib2AopProxy.doValidateClass(255) | Unable to proxy method [public final org.springframework.orm.hibernate3.HibernateTemplate org.springframework.orm.hibernate3.support.HibernateDaoSupport.getHibernateTemplate()] because it is final: All calls to this method via a proxy will be routed directly to the proxy.
16:26:59,784 WARN - org.springframework.aop.framework.Cglib2AopProxy.doValidateClass(255) | Unable to proxy method [public final org.hibernate.SessionFactory org.springframework.orm.hibernate3.support.HibernateDaoSupport.getSessionFactory()] because it is final: All calls to this method via a proxy will be routed directly to the proxy.
16:26:59,786 WARN - org.springframework.aop.framework.Cglib2AopProxy.doValidateClass(255) | Unable to proxy method [public final void org.springframework.orm.hibernate3.support.HibernateDaoSupport.setSessionFactory(org.hibernate.SessionFactory)] because it is final: All calls to this method via a proxy will be routed directly to the proxy.
16:26:59,787 WARN - org.springframework.aop.framework.Cglib2AopProxy.doValidateClass(255) | Unable to proxy method [public final void org.springframework.orm.hibernate3.support.HibernateDaoSupport.setHibernateTemplate(org.springframework.orm.hibernate3.HibernateTemplate)] because it is final: All calls to this method via a proxy will be routed directly to the proxy.
16:26:59,788 WARN - org.springframework.aop.framework.Cglib2AopProxy.doValidateClass(255) | Unable to proxy method [public final void org.springframework.dao.support.DaoSupport.afterPropertiesSet() throws java.lang.IllegalArgumentException,org.springframework.beans.factory.BeanInitializationException] because it is final: All calls to this method via a proxy will be routed directly to the proxy.
16:26:59,990 WARN - org.springframework.aop.framework.Cglib2AopProxy.doValidateClass(255) | Unable to proxy method [public final org.springframework.orm.hibernate3.HibernateTemplate org.springframework.orm.hibernate3.support.HibernateDaoSupport.getHibernateTemplate()] because it is final: All calls to this method via a proxy will be routed directly to the proxy.
16:26:59,991 WARN - org.springframework.aop.framework.Cglib2AopProxy.doValidateClass(255) | Unable to proxy method [public final org.hibernate.SessionFactory org.springframework.orm.hibernate3.support.HibernateDaoSupport.getSessionFactory()] because it is final: All calls to this method via a proxy will be routed directly to the proxy.
16:26:59,992 WARN - org.springframework.aop.framework.Cglib2AopProxy.doValidateClass(255) | Unable to proxy method [public final void org.springframework.orm.hibernate3.support.HibernateDaoSupport.setSessionFactory(org.hibernate.SessionFactory)] because it is final: All calls to this method via a proxy will be routed directly to the proxy.
16:26:59,993 WARN - org.springframework.aop.framework.Cglib2AopProxy.doValidateClass(255) | Unable to proxy method [public final void org.springframework.orm.hibernate3.support.HibernateDaoSupport.setHibernateTemplate(org.springframework.orm.hibernate3.HibernateTemplate)] because it is final: All calls to this method via a proxy will be routed directly to the proxy.
16:26:59,994 WARN - org.springframework.aop.framework.Cglib2AopProxy.doValidateClass(255) | Unable to proxy method [public final void org.springframework.dao.support.DaoSupport.afterPropertiesSet() throws java.lang.IllegalArgumentException,org.springframework.beans.factory.BeanInitializationException] because it is final: All calls to this method via a proxy will be routed directly to the proxy.
16:27:00,362 INFO - org.springframework.test.context.transaction.TransactionalTestExecutionListener.startNewTransaction(274) | Began transaction (1): transaction manager [org.springframework.orm.hibernate3.HibernateTransactionManager@3c03dfcb]; rollback [false]
16:27:00,927 INFO - org.springframework.test.context.transaction.TransactionalTestExecutionListener.endTransaction(294) | Committed transaction after test execution for test context [[TestContext@4980f545 testClass = TestBefore, testInstance = com.metecyu.yusr.testUtil.TestBefore@3166aab6, testMethod = delteAllDate@TestBefore, testException = [null], mergedContextConfiguration = [MergedContextConfiguration@4b51ac10 testClass = TestBefore, locations = '{classpath:/applicationContext.xml}', classes = '{}', activeProfiles = '{}', contextLoader = 'org.springframework.test.context.support.DelegatingSmartContextLoader']]]
16:27:00,947 WARN - org.springframework.aop.framework.Cglib2AopProxy.doValidateClass(255) | Unable to proxy method [public final void org.springframework.test.context.junit4.AbstractJUnit4SpringContextTests.setApplicationContext(org.springframework.context.ApplicationContext)] because it is final: All calls to this method via a proxy will be routed directly to the proxy.
16:27:01,045 INFO - org.springframework.test.context.transaction.TransactionalTestExecutionListener.startNewTransaction(274) | Began transaction (1): transaction manager [org.springframework.orm.hibernate3.HibernateTransactionManager@3c03dfcb]; rollback [true]
16:27:01,518 INFO - org.springframework.test.context.transaction.TransactionalTestExecutionListener.endTransaction(294) | Rolled back transaction after test execution for test context [[TestContext@779d9c0d testClass = DeptDAOTest, testInstance = com.metecyu.yusr.dao.DeptDAOTest@c7056d5, testMethod = testGetNewId@DeptDAOTest, testException = [null], mergedContextConfiguration = [MergedContextConfiguration@2354c054 testClass = DeptDAOTest, locations = '{classpath:/applicationContext.xml}', classes = '{}', activeProfiles = '{}', contextLoader = 'org.springframework.test.context.support.DelegatingSmartContextLoader']]]
16:27:01,545 INFO - org.springframework.test.context.transaction.TransactionalTestExecutionListener.startNewTransaction(274) | Began transaction (2): transaction manager [org.springframework.orm.hibernate3.HibernateTransactionManager@3c03dfcb]; rollback [true]
16:27:01,729 INFO - org.springframework.test.context.transaction.TransactionalTestExecutionListener.endTransaction(294) | Rolled back transaction after test execution for test context [[TestContext@779d9c0d testClass = DeptDAOTest, testInstance = com.metecyu.yusr.dao.DeptDAOTest@1aa632be, testMethod = testGenarateDeptId@DeptDAOTest, testException = [null], mergedContextConfiguration = [MergedContextConfiguration@2354c054 testClass = DeptDAOTest, locations = '{classpath:/applicationContext.xml}', classes = '{}', activeProfiles = '{}', contextLoader = 'org.springframework.test.context.support.DelegatingSmartContextLoader']]]
16:27:01,748 INFO - org.springframework.test.context.transaction.TransactionalTestExecutionListener.startNewTransaction(274) | Began transaction (3): transaction manager [org.springframework.orm.hibernate3.HibernateTransactionManager@3c03dfcb]; rollback [true]
16:27:01,918 INFO - org.springframework.test.context.transaction.TransactionalTestExecutionListener.endTransaction(294) | Rolled back transaction after test execution for test context [[TestContext@779d9c0d testClass = DeptDAOTest, testInstance = com.metecyu.yusr.dao.DeptDAOTest@3821b42f, testMethod = testFindMainDept@DeptDAOTest, testException = [null], mergedContextConfiguration = [MergedContextConfiguration@2354c054 testClass = DeptDAOTest, locations = '{classpath:/applicationContext.xml}', classes = '{}', activeProfiles = '{}', contextLoader = 'org.springframework.test.context.support.DelegatingSmartContextLoader']]]
16:27:01,926 WARN - org.springframework.aop.framework.Cglib2AopProxy.doValidateClass(255) | Unable to proxy method [public final void org.springframework.test.context.junit4.AbstractJUnit4SpringContextTests.setApplicationContext(org.springframework.context.ApplicationContext)] because it is final: All calls to this method via a proxy will be routed directly to the proxy.
16:27:02,026 WARN - org.springframework.aop.framework.Cglib2AopProxy.doValidateClass(255) | Unable to proxy method [public final void org.springframework.test.context.junit4.AbstractJUnit4SpringContextTests.setApplicationContext(org.springframework.context.ApplicationContext)] because it is final: All calls to this method via a proxy will be routed directly to the proxy.
16:27:02,098 INFO - org.springframework.test.context.transaction.TransactionalTestExecutionListener.startNewTransaction(274) | Began transaction (1): transaction manager [org.springframework.orm.hibernate3.HibernateTransactionManager@3c03dfcb]; rollback [true]
16:27:02,331 INFO - org.springframework.test.context.transaction.TransactionalTestExecutionListener.endTransaction(294) | Rolled back transaction after test execution for test context [[TestContext@144f3ba2 testClass = DeptServiceTest, testInstance = com.metecyu.yusr.service.DeptServiceTest@5dd41318, testMethod = adjustDeptOrder@DeptServiceTest, testException = [null], mergedContextConfiguration = [MergedContextConfiguration@e31bcc8 testClass = DeptServiceTest, locations = '{classpath:/applicationContext.xml}', classes = '{}', activeProfiles = '{}', contextLoader = 'org.springframework.test.context.support.DelegatingSmartContextLoader']]]
16:27:02,357 INFO - org.springframework.test.context.transaction.TransactionalTestExecutionListener.startNewTransaction(274) | Began transaction (2): transaction manager [org.springframework.orm.hibernate3.HibernateTransactionManager@3c03dfcb]; rollback [true]
